Features: 16,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.2, Gamma: 0.005",7,3,211,57,23.021582733812952,0,40,
"Nu: 0.2, Gamma: 0.05",7,3,192,76,29.856115107913666,0,40,
"Nu: 0.2, Gamma: 0.0625",7,3,187,81,31.654676258992804,0,40,
"Nu: 0.2, Gamma: 0.1",8,2,159,109,42.086330935251794,0,40,
"Nu: 0.2, Gamma: 0.2",7,3,83,185,69.06474820143885,0,40,
"Nu: 0.2, Gamma: 0.5",8,2,13,255,94.60431654676259,0,40,
"Nu: 0.2, Gamma: 0.7",7,3,6,262,96.76258992805755,0,40,
"Nu: 0.2, Gamma: 0.9",7,3,8,260,96.0431654676259,0,40,
"Nu: 0.2, Gamma: 0.99",7,3,8,260,96.0431654676259,0,40,
"Nu: 0.5, Gamma: 0.0001",1,9,19,249,89.92805755395683,0,40,
"Nu: 0.5, Gamma: 0.0002",1,9,18,250,90.28776978417267,0,40,
"Nu: 0.5, Gamma: 0.0003",2,8,23,245,88.84892086330936,0,40,
"Nu: 0.5, Gamma: 0.0004",2,8,23,245,88.84892086330936,0,40,
"Nu: 0.5, Gamma: 0.005",2,8,20,248,89.92805755395683,0,40,
"Nu: 0.5, Gamma: 0.05",2,8,20,248,89.92805755395683,0,40,
"Nu: 0.5, Gamma: 0.0625",2,8,20,248,89.92805755395683,0,40,
"Nu: 0.5, Gamma: 0.1",1,9,19,249,89.92805755395683,0,40,
"Nu: 0.5, Gamma: 0.2",1,9,12,256,92.44604316546763,0,40,
"Nu: 0.5, Gamma: 0.5",3,7,5,263,95.68345323741008,0,40,
"Nu: 0.5, Gamma: 0.7",2,8,0,268,97.12230215827337,0,40,
"Nu: 0.5, Gamma: 0.9",2,8,0,268,97.12230215827337,0,40,
"Nu: 0.5, Gamma: 0.99",2,8,0,268,97.12230215827337,0,40,
"Nu: 0.7, Gamma: 0.0001",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.7, Gamma: 0.0002",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.7, Gamma: 0.0003",1,9,5,263,94.96402877697841,0,40,
"Nu: 0.7, Gamma: 0.0004",1,9,5,263,94.96402877697841,0,40,
"Nu: 0.7, Gamma: 0.005",1,9,3,265,95.68345323741008,0,40,
"Nu: 0.7, Gamma: 0.05",1,9,3,265,95.68345323741008,0,40,
"Nu: 0.7, Gamma: 0.0625",1,9,2,266,96.0431654676259,0,40,
"Nu: 0.7, Gamma: 0.1",1,9,2,266,96.0431654676259,0,40,
"Nu: 0.7, Gamma: 0.2",1,9,2,266,96.0431654676259,0,40,
"Nu: 0.7, Gamma: 0.5",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.7, Gamma: 0.7",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.7, Gamma: 0.9",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.7, Gamma: 0.99",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.9, Gamma: 0.0001",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.9, Gamma: 0.0002",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.9, Gamma: 0.0003",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.9, Gamma: 0.0004",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.9, Gamma: 0.005",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.9, Gamma: 0.05",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.9, Gamma: 0.0625",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.9, Gamma: 0.1",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.9, Gamma: 0.2",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.9, Gamma: 0.5",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.9, Gamma: 0.7",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.9, Gamma: 0.9",0,10,0,268,96.40287769784173,0,40,
