Features: 16,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.9, Gamma: 0.2",1,26,10,87,70.96774193548387,10,40,
"Nu: 0.9, Gamma: 0.5",2,25,1,96,79.03225806451613,10,40,
"Nu: 0.9, Gamma: 0.7",2,25,0,97,79.83870967741935,10,40,
"Nu: 0.9, Gamma: 0.9",2,25,0,97,79.83870967741935,10,40,
"Nu: 0.9, Gamma: 0.99",2,25,0,97,79.83870967741935,10,40,
"Nu: 0.99, Gamma: 0.0001",0,27,0,97,78.2258064516129,10,40,
"Nu: 0.99, Gamma: 0.0002",0,27,0,97,78.2258064516129,10,40,
"Nu: 0.99, Gamma: 0.0003",0,27,0,97,78.2258064516129,10,40,
"Nu: 0.99, Gamma: 0.0004",0,27,0,97,78.2258064516129,10,40,
"Nu: 0.99, Gamma: 0.005",0,27,0,97,78.2258064516129,10,40,
"Nu: 0.99, Gamma: 0.05",0,27,0,97,78.2258064516129,10,40,
"Nu: 0.99, Gamma: 0.0625",0,27,0,97,78.2258064516129,10,40,
"Nu: 0.99, Gamma: 0.1",0,27,0,97,78.2258064516129,10,40,
"Nu: 0.99, Gamma: 0.2",0,27,0,97,78.2258064516129,10,40,
"Nu: 0.99, Gamma: 0.5",0,27,0,97,78.2258064516129,10,40,
"Nu: 0.99, Gamma: 0.7",0,27,0,97,78.2258064516129,10,40,
"Nu: 0.99, Gamma: 0.9",0,27,0,97,78.2258064516129,10,40,
"Nu: 0.99, Gamma: 0.99",0,27,0,97,78.2258064516129,10,40,
,,,,,,,,
