Features: 16,,,,,,,,,,
Target Class: freqmine,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.05940594,488
"Nu: 0.1, Gamma: 0.9",12,4,120,66,38.61386139,0,40,,,
"Nu: 0.1, Gamma: 0.99",12,4,114,72,41.58415842,0,40,,,
"Nu: 0.2, Gamma: 0.0001",6,10,75,111,57.92079208,0,40,,,
"Nu: 0.2, Gamma: 0.0002",6,10,75,111,57.92079208,0,40,,,
"Nu: 0.2, Gamma: 0.0003",12,4,154,32,21.78217822,0,40,,,
"Nu: 0.2, Gamma: 0.0004",12,4,154,32,21.78217822,0,40,,,
"Nu: 0.2, Gamma: 0.005",12,4,154,32,21.78217822,0,40,,,
"Nu: 0.2, Gamma: 0.05",12,4,146,40,25.74257426,0,40,,,
"Nu: 0.2, Gamma: 0.0625",12,4,145,41,26.23762376,0,40,,,
"Nu: 0.2, Gamma: 0.1",12,4,144,42,26.73267327,0,40,,,
"Nu: 0.2, Gamma: 0.2",12,4,141,45,28.21782178,0,40,,,
"Nu: 0.2, Gamma: 0.5",12,4,123,63,37.12871287,0,40,,,
"Nu: 0.2, Gamma: 0.7",12,4,122,64,37.62376238,0,40,,,
"Nu: 0.2, Gamma: 0.9",12,4,121,65,38.11881188,0,40,,,
"Nu: 0.2, Gamma: 0.99",12,4,120,66,38.61386139,0,40,,,
"Nu: 0.5, Gamma: 0.0001",5,11,87,99,51.48514851,0,40,,,
"Nu: 0.5, Gamma: 0.0002",10,6,116,70,39.6039604,0,40,,,
"Nu: 0.5, Gamma: 0.0003",10,6,116,70,39.6039604,0,40,,,
"Nu: 0.5, Gamma: 0.0004",9,7,114,72,40.0990099,0,40,,,
"Nu: 0.5, Gamma: 0.005",9,7,116,70,39.10891089,0,40,,,
"Nu: 0.5, Gamma: 0.05",8,8,98,88,47.52475248,0,40,,,
"Nu: 0.5, Gamma: 0.0625",8,8,91,95,50.99009901,0,40,,,
"Nu: 0.5, Gamma: 0.1",6,10,64,122,63.36633663,0,40,,,
"Nu: 0.5, Gamma: 0.2",6,10,56,130,67.32673267,0,40,,,
"Nu: 0.5, Gamma: 0.5",6,10,43,143,73.76237624,0,40,,,
"Nu: 0.5, Gamma: 0.7",6,10,39,147,75.74257426,0,40,,,
"Nu: 0.5, Gamma: 0.9",7,9,37,149,77.22772277,0,40,,,
"Nu: 0.5, Gamma: 0.99",7,9,37,149,77.22772277,0,40,,,
"Nu: 0.7, Gamma: 0.0001",3,13,59,127,64.35643564,0,40,,,
"Nu: 0.7, Gamma: 0.0002",3,13,64,122,61.88118812,0,40,,,
"Nu: 0.7, Gamma: 0.0003",3,13,64,122,61.88118812,0,40,,,
"Nu: 0.7, Gamma: 0.0004",3,13,64,122,61.88118812,0,40,,,
"Nu: 0.7, Gamma: 0.005",3,13,59,127,64.35643564,0,40,,,
"Nu: 0.7, Gamma: 0.05",3,13,55,131,66.33663366,0,40,,,
"Nu: 0.7, Gamma: 0.0625",4,12,55,131,66.83168317,0,40,,,
"Nu: 0.7, Gamma: 0.1",4,12,54,132,67.32673267,0,40,,,
"Nu: 0.7, Gamma: 0.2",5,11,49,137,70.2970297,0,40,,,
"Nu: 0.7, Gamma: 0.5",4,12,20,166,84.15841584,0,40,,,
"Nu: 0.7, Gamma: 0.7",4,12,4,182,92.07920792,0,40,,,
"Nu: 0.7, Gamma: 0.9",4,12,3,183,92.57425743,0,40,,,
"Nu: 0.7, Gamma: 0.99",4,12,3,183,92.57425743,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,15,26,160,79.7029703,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,15,26,160,79.7029703,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,15,26,160,79.7029703,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,15,26,160,79.7029703,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,15,26,160,79.7029703,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,15,24,162,80.69306931,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,15,23,163,81.18811881,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,15,17,169,84.15841584,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,16,1,185,91.58415842,0,40,,,
"Nu: 0.9, Gamma: 0.5",2,14,3,183,91.58415842,0,40,,,
"Nu: 0.9, Gamma: 0.7",2,14,3,183,91.58415842,0,40,,,
"Nu: 0.9, Gamma: 0.9",2,14,3,183,91.58415842,0,40,,,
"Nu: 0.9, Gamma: 0.99",2,14,3,183,91.58415842,0,40,,,
"Nu: 0.99, Gamma: 0.0001",1,15,39,147,73.26732673,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,16,12,174,86.13861386,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,16,2,184,91.08910891,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,16,2,184,91.08910891,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,16,2,184,91.08910891,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,16,3,183,90.59405941,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,16,3,183,90.59405941,0,40,,,
"Nu: 0.99, Gamma: 0.1",1,15,14,172,85.64356436,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,16,0,186,92.07920792,0,40,,,
"Nu: 0.99, Gamma: 0.5",1,15,0,186,92.57425743,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,16,0,186,92.07920792,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,16,0,186,92.07920792,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,16,0,186,92.07920792,0,40,,,
,,,,,,,,,,
Target Class: freqmine_IndirectBP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,19,0,154,89.01734104,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,19,0,154,89.01734104,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,19,0,154,89.01734104,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,19,0,154,89.01734104,0,40,,,
"Nu: 0.0001, Gamma: 0.005",13,6,54,100,65.31791908,0,40,,,
"Nu: 0.0001, Gamma: 0.05",13,6,49,105,68.20809249,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",13,6,48,106,68.78612717,0,40,,,
