Features: 16,,,,,,,,,,
Target Class: freqmine,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.05940594,488
"Nu: 0.9, Gamma: 0.0004",4,15,11,143,84.97109827,10,40,,,
"Nu: 0.9, Gamma: 0.005",4,15,10,144,85.54913295,10,40,,,
"Nu: 0.9, Gamma: 0.05",3,16,10,144,84.97109827,10,40,,,
"Nu: 0.9, Gamma: 0.0625",4,15,10,144,85.54913295,10,40,,,
"Nu: 0.9, Gamma: 0.1",3,16,8,146,86.12716763,10,40,,,
"Nu: 0.9, Gamma: 0.2",2,17,10,144,84.39306358,10,40,,,
"Nu: 0.9, Gamma: 0.5",2,17,12,142,83.23699422,10,40,,,
"Nu: 0.9, Gamma: 0.7",1,18,13,141,82.08092486,10,40,,,
"Nu: 0.9, Gamma: 0.9",1,18,15,139,80.92485549,10,40,,,
"Nu: 0.9, Gamma: 0.99",1,18,13,141,82.08092486,10,40,,,
"Nu: 0.99, Gamma: 0.0001",0,19,3,151,87.28323699,10,40,,,
"Nu: 0.99, Gamma: 0.0002",0,19,3,151,87.28323699,10,40,,,
"Nu: 0.99, Gamma: 0.0003",0,19,3,151,87.28323699,10,40,,,
"Nu: 0.99, Gamma: 0.0004",0,19,3,151,87.28323699,10,40,,,
"Nu: 0.99, Gamma: 0.005",0,19,3,151,87.28323699,10,40,,,
"Nu: 0.99, Gamma: 0.05",1,18,4,150,87.28323699,10,40,,,
"Nu: 0.99, Gamma: 0.0625",1,18,4,150,87.28323699,10,40,,,
"Nu: 0.99, Gamma: 0.1",1,18,2,152,88.43930636,10,40,,,
"Nu: 0.99, Gamma: 0.2",0,19,0,154,89.01734104,10,40,,,
"Nu: 0.99, Gamma: 0.5",1,18,1,153,89.01734104,10,40,,,
"Nu: 0.99, Gamma: 0.7",1,18,1,153,89.01734104,10,40,,,
"Nu: 0.99, Gamma: 0.9",1,18,1,153,89.01734104,10,40,,,
"Nu: 0.99, Gamma: 0.99",0,19,0,154,89.01734104,10,40,,,
