Features: 16,,,,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,91.40625,164
"Nu: 0.005, Gamma: 0.05",11,1,111,0,8.943089431,0,40,,,
"Nu: 0.005, Gamma: 0.0625",12,0,111,0,9.756097561,0,40,,,
"Nu: 0.005, Gamma: 0.1",10,2,91,20,24.3902439,0,40,,,
"Nu: 0.005, Gamma: 0.2",9,3,82,29,30.89430894,0,40,,,
"Nu: 0.005, Gamma: 0.5",9,3,79,32,33.33333333,0,40,,,
"Nu: 0.005, Gamma: 0.7",9,3,78,33,34.14634146,0,40,,,
"Nu: 0.005, Gamma: 0.9",10,2,72,39,39.83739837,0,40,,,
"Nu: 0.005, Gamma: 0.99",11,1,70,41,42.27642276,0,40,,,
"Nu: 0.05, Gamma: 0.0001",10,2,107,4,11.38211382,0,40,,,
"Nu: 0.05, Gamma: 0.0002",10,2,107,4,11.38211382,0,40,,,
"Nu: 0.05, Gamma: 0.0003",10,2,107,4,11.38211382,0,40,,,
"Nu: 0.05, Gamma: 0.0004",10,2,107,4,11.38211382,0,40,,,
"Nu: 0.05, Gamma: 0.005",10,2,107,4,11.38211382,0,40,,,
"Nu: 0.05, Gamma: 0.05",10,2,88,23,26.82926829,0,40,,,
"Nu: 0.05, Gamma: 0.0625",10,2,88,23,26.82926829,0,40,,,
"Nu: 0.05, Gamma: 0.1",10,2,86,25,28.45528455,0,40,,,
"Nu: 0.05, Gamma: 0.2",8,4,79,32,32.5203252,0,40,,,
"Nu: 0.05, Gamma: 0.5",8,4,80,31,31.70731707,0,40,,,
"Nu: 0.05, Gamma: 0.7",9,3,75,36,36.58536585,0,40,,,
"Nu: 0.05, Gamma: 0.9",10,2,72,39,39.83739837,0,40,,,
"Nu: 0.05, Gamma: 0.99",10,2,69,42,42.27642276,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",10,2,65,46,45.52845528,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",10,2,88,23,26.82926829,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",10,2,88,23,26.82926829,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",10,2,88,23,26.82926829,0,40,,,
"Nu: 0.0625, Gamma: 0.005",10,2,88,23,26.82926829,0,40,,,
"Nu: 0.0625, Gamma: 0.05",9,3,88,23,26.01626016,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",9,3,88,23,26.01626016,0,40,,,
"Nu: 0.0625, Gamma: 0.1",10,2,86,25,28.45528455,0,40,,,
"Nu: 0.0625, Gamma: 0.2",8,4,78,33,33.33333333,0,40,,,
"Nu: 0.0625, Gamma: 0.5",7,5,81,30,30.08130081,0,40,,,
"Nu: 0.0625, Gamma: 0.7",9,3,75,36,36.58536585,0,40,,,
"Nu: 0.0625, Gamma: 0.9",9,3,72,39,39.02439024,0,40,,,
"Nu: 0.0625, Gamma: 0.99",10,2,70,41,41.46341463,0,40,,,
"Nu: 0.1, Gamma: 0.0001",10,2,79,32,34.14634146,0,40,,,
"Nu: 0.1, Gamma: 0.0002",10,2,79,32,34.14634146,0,40,,,
"Nu: 0.1, Gamma: 0.0003",10,2,83,28,30.89430894,0,40,,,
"Nu: 0.1, Gamma: 0.0004",10,2,83,28,30.89430894,0,40,,,
"Nu: 0.1, Gamma: 0.005",10,2,83,28,30.89430894,0,40,,,
"Nu: 0.1, Gamma: 0.05",10,2,83,28,30.89430894,0,40,,,
"Nu: 0.1, Gamma: 0.0625",10,2,82,29,31.70731707,0,40,,,
"Nu: 0.1, Gamma: 0.1",9,3,82,29,30.89430894,0,40,,,
"Nu: 0.1, Gamma: 0.2",8,4,76,35,34.95934959,0,40,,,
"Nu: 0.1, Gamma: 0.5",7,5,77,34,33.33333333,0,40,,,
"Nu: 0.1, Gamma: 0.7",9,3,73,38,38.21138211,0,40,,,
"Nu: 0.1, Gamma: 0.9",9,3,70,41,40.6504065,0,40,,,
"Nu: 0.1, Gamma: 0.99",9,3,69,42,41.46341463,0,40,,,
"Nu: 0.2, Gamma: 0.0001",8,4,72,39,38.21138211,0,40,,,
"Nu: 0.2, Gamma: 0.0002",8,4,72,39,38.21138211,0,40,,,
"Nu: 0.2, Gamma: 0.0003",8,4,72,39,38.21138211,0,40,,,
"Nu: 0.2, Gamma: 0.0004",8,4,72,39,38.21138211,0,40,,,
"Nu: 0.2, Gamma: 0.005",7,5,73,38,36.58536585,0,40,,,
"Nu: 0.2, Gamma: 0.05",8,4,70,41,39.83739837,0,40,,,
"Nu: 0.2, Gamma: 0.0625",8,4,69,42,40.6504065,0,40,,,
"Nu: 0.2, Gamma: 0.1",9,3,69,42,41.46341463,0,40,,,
"Nu: 0.2, Gamma: 0.2",7,5,64,47,43.90243902,0,40,,,
"Nu: 0.2, Gamma: 0.5",6,6,64,47,43.08943089,0,40,,,
"Nu: 0.2, Gamma: 0.7",7,5,63,48,44.71544715,0,40,,,
"Nu: 0.2, Gamma: 0.9",8,4,58,53,49.59349593,0,40,,,
"Nu: 0.2, Gamma: 0.99",8,4,55,56,52.03252033,0,40,,,
"Nu: 0.5, Gamma: 0.0001",4,8,40,71,60.97560976,0,40,,,
"Nu: 0.5, Gamma: 0.0002",4,8,40,71,60.97560976,0,40,,,
"Nu: 0.5, Gamma: 0.0003",4,8,40,71,60.97560976,0,40,,,
"Nu: 0.5, Gamma: 0.0004",4,8,40,71,60.97560976,0,40,,,
"Nu: 0.5, Gamma: 0.005",4,8,40,71,60.97560976,0,40,,,
"Nu: 0.5, Gamma: 0.05",4,8,40,71,60.97560976,0,40,,,
"Nu: 0.5, Gamma: 0.0625",4,8,40,71,60.97560976,0,40,,,
"Nu: 0.5, Gamma: 0.1",4,8,40,71,60.97560976,0,40,,,
"Nu: 0.5, Gamma: 0.2",3,9,32,79,66.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.5",3,9,23,88,73.98373984,0,40,,,
"Nu: 0.5, Gamma: 0.7",4,8,28,83,70.73170732,0,40,,,
"Nu: 0.5, Gamma: 0.9",5,7,27,84,72.35772358,0,40,,,
"Nu: 0.5, Gamma: 0.99",5,7,29,82,70.73170732,0,40,,,
"Nu: 0.7, Gamma: 0.0001",4,8,23,88,74.79674797,0,40,,,
"Nu: 0.7, Gamma: 0.0002",4,8,23,88,74.79674797,0,40,,,
"Nu: 0.7, Gamma: 0.0003",4,8,23,88,74.79674797,0,40,,,
"Nu: 0.7, Gamma: 0.0004",4,8,23,88,74.79674797,0,40,,,
"Nu: 0.7, Gamma: 0.005",4,8,23,88,74.79674797,0,40,,,
"Nu: 0.7, Gamma: 0.05",4,8,23,88,74.79674797,0,40,,,
"Nu: 0.7, Gamma: 0.0625",4,8,24,87,73.98373984,0,40,,,
"Nu: 0.7, Gamma: 0.1",4,8,24,87,73.98373984,0,40,,,
"Nu: 0.7, Gamma: 0.2",3,9,21,90,75.6097561,0,40,,,
"Nu: 0.7, Gamma: 0.5",0,12,14,97,78.86178862,0,40,,,
"Nu: 0.7, Gamma: 0.7",1,11,12,99,81.30081301,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,11,11,100,82.11382114,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,11,10,101,82.92682927,0,40,,,
"Nu: 0.9, Gamma: 0.0001",3,9,15,96,80.48780488,0,40,,,
"Nu: 0.9, Gamma: 0.0002",3,9,15,96,80.48780488,0,40,,,
"Nu: 0.9, Gamma: 0.0003",3,9,15,96,80.48780488,0,40,,,
"Nu: 0.9, Gamma: 0.0004",3,9,15,96,80.48780488,0,40,,,
"Nu: 0.9, Gamma: 0.005",3,9,16,95,79.67479675,0,40,,,
"Nu: 0.9, Gamma: 0.05",3,9,17,94,78.86178862,0,40,,,
"Nu: 0.9, Gamma: 0.0625",3,9,17,94,78.86178862,0,40,,,
"Nu: 0.9, Gamma: 0.1",3,9,17,94,78.86178862,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,12,8,103,83.7398374,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,12,1,110,89.43089431,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,12,1,110,89.43089431,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,12,1,110,89.43089431,0,40,,,
"Nu: 0.99, Gamma: 0.0001",2,10,5,106,87.80487805,0,40,,,
"Nu: 0.99, Gamma: 0.0002",2,10,5,106,87.80487805,0,40,,,
"Nu: 0.99, Gamma: 0.0003",2,10,5,106,87.80487805,0,40,,,
"Nu: 0.99, Gamma: 0.0004",2,10,5,106,87.80487805,0,40,,,
"Nu: 0.99, Gamma: 0.005",2,10,3,108,89.43089431,0,40,,,
"Nu: 0.99, Gamma: 0.05",1,11,3,108,88.61788618,0,40,,,
"Nu: 0.99, Gamma: 0.0625",1,11,3,108,88.61788618,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,12,3,108,87.80487805,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,12,0,111,90.24390244,0,40,,,
