Features: 16,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.5, Gamma: 0.1",3,2,20,8,33.33333333333333,0,40,
"Nu: 0.5, Gamma: 0.2",2,3,15,13,45.45454545454545,0,40,
"Nu: 0.5, Gamma: 0.5",2,3,0,28,90.9090909090909,0,40,
"Nu: 0.5, Gamma: 0.7",2,3,0,28,90.9090909090909,0,40,
"Nu: 0.5, Gamma: 0.9",2,3,0,28,90.9090909090909,0,40,
"Nu: 0.5, Gamma: 0.99",2,3,0,28,90.9090909090909,0,40,
"Nu: 0.7, Gamma: 0.0001",2,3,22,6,24.242424242424242,0,40,
"Nu: 0.7, Gamma: 0.0002",1,4,21,7,24.242424242424242,0,40,
"Nu: 0.7, Gamma: 0.0003",1,4,21,7,24.242424242424242,0,40,
"Nu: 0.7, Gamma: 0.0004",1,4,21,7,24.242424242424242,0,40,
"Nu: 0.7, Gamma: 0.005",1,4,21,7,24.242424242424242,0,40,
"Nu: 0.7, Gamma: 0.05",1,4,21,7,24.242424242424242,0,40,
"Nu: 0.7, Gamma: 0.0625",1,4,20,8,27.27272727272727,0,40,
"Nu: 0.7, Gamma: 0.1",1,4,17,11,36.36363636363637,0,40,
"Nu: 0.7, Gamma: 0.2",2,3,15,13,45.45454545454545,0,40,
"Nu: 0.7, Gamma: 0.5",2,3,0,28,90.9090909090909,0,40,
"Nu: 0.7, Gamma: 0.7",1,4,0,28,87.87878787878788,0,40,
"Nu: 0.7, Gamma: 0.9",1,4,0,28,87.87878787878788,0,40,
"Nu: 0.7, Gamma: 0.99",1,4,0,28,87.87878787878788,0,40,
"Nu: 0.9, Gamma: 0.0001",2,3,22,6,24.242424242424242,0,40,
"Nu: 0.9, Gamma: 0.0002",1,4,21,7,24.242424242424242,0,40,
"Nu: 0.9, Gamma: 0.0003",1,4,21,7,24.242424242424242,0,40,
"Nu: 0.9, Gamma: 0.0004",1,4,21,7,24.242424242424242,0,40,
"Nu: 0.9, Gamma: 0.005",1,4,21,7,24.242424242424242,0,40,
"Nu: 0.9, Gamma: 0.05",1,4,19,9,30.303030303030305,0,40,
"Nu: 0.9, Gamma: 0.0625",1,4,18,10,33.33333333333333,0,40,
"Nu: 0.9, Gamma: 0.1",0,5,17,11,33.33333333333333,0,40,
"Nu: 0.9, Gamma: 0.2",0,5,13,15,45.45454545454545,0,40,
"Nu: 0.9, Gamma: 0.5",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.9, Gamma: 0.7",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.9, Gamma: 0.9",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.9, Gamma: 0.99",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.99, Gamma: 0.0001",0,5,1,27,81.81818181818183,0,40,
"Nu: 0.99, Gamma: 0.0002",0,5,1,27,81.81818181818183,0,40,
"Nu: 0.99, Gamma: 0.0003",0,5,1,27,81.81818181818183,0,40,
"Nu: 0.99, Gamma: 0.0004",0,5,1,27,81.81818181818183,0,40,
"Nu: 0.99, Gamma: 0.005",0,5,1,27,81.81818181818183,0,40,
"Nu: 0.99, Gamma: 0.05",0,5,4,24,72.72727272727273,0,40,
"Nu: 0.99, Gamma: 0.0625",0,5,10,18,54.54545454545454,0,40,
"Nu: 0.99, Gamma: 0.1",0,5,15,13,39.39393939393939,0,40,
"Nu: 0.99, Gamma: 0.2",0,5,13,15,45.45454545454545,0,40,
"Nu: 0.99, Gamma: 0.5",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.99, Gamma: 0.7",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.99, Gamma: 0.9",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.99, Gamma: 0.99",0,5,0,28,84.84848484848484,0,40,
,,,,,,,,
Target Class: swaptions_Pipeline,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.0001, Gamma: 0.0002",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.0001, Gamma: 0.0003",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.0001, Gamma: 0.0004",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.0001, Gamma: 0.005",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.0001, Gamma: 0.05",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.0001, Gamma: 0.0625",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.0001, Gamma: 0.1",3,0,1,42,97.82608695652173,0,40,
"Nu: 0.0001, Gamma: 0.2",2,1,0,43,97.82608695652173,0,40,
"Nu: 0.0001, Gamma: 0.5",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.0001, Gamma: 0.7",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.0001, Gamma: 0.9",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.0001, Gamma: 0.99",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.0002, Gamma: 0.0001",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.0002, Gamma: 0.0002",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.0002, Gamma: 0.0003",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.0002, Gamma: 0.0004",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.0002, Gamma: 0.005",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.0002, Gamma: 0.05",3,0,1,42,97.82608695652173,0,40,
"Nu: 0.0002, Gamma: 0.0625",3,0,1,42,97.82608695652173,0,40,
"Nu: 0.0002, Gamma: 0.1",3,0,5,38,89.13043478260869,0,40,
"Nu: 0.0002, Gamma: 0.2",2,1,18,25,58.69565217391305,0,40,
"Nu: 0.0002, Gamma: 0.5",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.0002, Gamma: 0.7",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.0002, Gamma: 0.9",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.0002, Gamma: 0.99",1,2,0,43,95.65217391304348,0,40,
