Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,100,117
"Nu: 0.1, Gamma: 0.5",12,0,48,160,78.18181818,0,40,,,
"Nu: 0.1, Gamma: 0.7",12,0,44,164,80,0,40,,,
"Nu: 0.1, Gamma: 0.9",12,0,39,169,82.27272727,0,40,,,
"Nu: 0.1, Gamma: 0.99",12,0,39,169,82.27272727,0,40,,,
"Nu: 0.2, Gamma: 0.0001",12,0,59,149,73.18181818,0,40,,,
"Nu: 0.2, Gamma: 0.0002",11,1,54,154,75,0,40,,,
"Nu: 0.2, Gamma: 0.0003",11,1,54,154,75,0,40,,,
"Nu: 0.2, Gamma: 0.0004",11,1,54,154,75,0,40,,,
"Nu: 0.2, Gamma: 0.005",11,1,54,154,75,0,40,,,
"Nu: 0.2, Gamma: 0.05",11,1,47,161,78.18181818,0,40,,,
"Nu: 0.2, Gamma: 0.0625",11,1,46,162,78.63636364,0,40,,,
"Nu: 0.2, Gamma: 0.1",11,1,41,167,80.90909091,0,40,,,
"Nu: 0.2, Gamma: 0.2",11,1,39,169,81.81818182,0,40,,,
"Nu: 0.2, Gamma: 0.5",12,0,1,207,99.54545455,0,40,,,
"Nu: 0.2, Gamma: 0.7",12,0,0,208,100,0,40,,,
"Nu: 0.2, Gamma: 0.9",12,0,36,172,83.63636364,0,40,,,
"Nu: 0.2, Gamma: 0.99",12,0,35,173,84.09090909,0,40,,,
"Nu: 0.5, Gamma: 0.0001",6,6,0,208,97.27272727,0,40,,,
"Nu: 0.5, Gamma: 0.0002",6,6,0,208,97.27272727,0,40,,,
"Nu: 0.5, Gamma: 0.0003",6,6,0,208,97.27272727,0,40,,,
"Nu: 0.5, Gamma: 0.0004",6,6,0,208,97.27272727,0,40,,,
"Nu: 0.5, Gamma: 0.005",6,6,0,208,97.27272727,0,40,,,
"Nu: 0.5, Gamma: 0.05",6,6,0,208,97.27272727,0,40,,,
"Nu: 0.5, Gamma: 0.0625",6,6,0,208,97.27272727,0,40,,,
"Nu: 0.5, Gamma: 0.1",6,6,0,208,97.27272727,0,40,,,
"Nu: 0.5, Gamma: 0.2",6,6,0,208,97.27272727,0,40,,,
"Nu: 0.5, Gamma: 0.5",6,6,0,208,97.27272727,0,40,,,
"Nu: 0.5, Gamma: 0.7",6,6,0,208,97.27272727,0,40,,,
"Nu: 0.5, Gamma: 0.9",7,5,0,208,97.72727273,0,40,,,
"Nu: 0.5, Gamma: 0.99",7,5,0,208,97.72727273,0,40,,,
"Nu: 0.7, Gamma: 0.0001",4,8,0,208,96.36363636,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,11,0,208,95,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,11,0,208,95,0,40,,,
"Nu: 0.7, Gamma: 0.0004",3,9,0,208,95.90909091,0,40,,,
"Nu: 0.7, Gamma: 0.005",3,9,0,208,95.90909091,0,40,,,
"Nu: 0.7, Gamma: 0.05",3,9,0,208,95.90909091,0,40,,,
"Nu: 0.7, Gamma: 0.0625",3,9,0,208,95.90909091,0,40,,,
"Nu: 0.7, Gamma: 0.1",3,9,0,208,95.90909091,0,40,,,
"Nu: 0.7, Gamma: 0.2",3,9,0,208,95.90909091,0,40,,,
"Nu: 0.7, Gamma: 0.5",3,9,0,208,95.90909091,0,40,,,
"Nu: 0.7, Gamma: 0.7",3,9,0,208,95.90909091,0,40,,,
"Nu: 0.7, Gamma: 0.9",3,9,0,208,95.90909091,0,40,,,
"Nu: 0.7, Gamma: 0.99",3,9,0,208,95.90909091,0,40,,,
"Nu: 0.9, Gamma: 0.0001",3,9,0,208,95.90909091,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,11,0,208,95,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,11,0,208,95,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,11,0,208,95,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,11,0,208,95,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,11,0,208,95,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,11,0,208,95,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,11,0,208,95,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,11,0,208,95,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,11,0,208,95,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,11,0,208,95,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,11,0,208,95,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,11,0,208,95,0,40,,,
"Nu: 0.99, Gamma: 0.0001",3,9,0,208,95.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.0002",1,11,0,208,95,0,40,,,
"Nu: 0.99, Gamma: 0.0003",1,11,0,208,95,0,40,,,
"Nu: 0.99, Gamma: 0.0004",1,11,0,208,95,0,40,,,
"Nu: 0.99, Gamma: 0.005",1,11,0,208,95,0,40,,,
"Nu: 0.99, Gamma: 0.05",1,11,0,208,95,0,40,,,
"Nu: 0.99, Gamma: 0.0625",1,11,0,208,95,0,40,,,
"Nu: 0.99, Gamma: 0.1",1,11,0,208,95,0,40,,,
"Nu: 0.99, Gamma: 0.2",1,11,0,208,95,0,40,,,
"Nu: 0.99, Gamma: 0.5",1,11,0,208,95,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,12,0,208,94.54545455,0,40,,,
,,,,,,,,,,
Target Class: streamcluster_MRURP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,21,0,117,84.7826087,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,21,0,117,84.7826087,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,21,0,117,84.7826087,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,21,0,117,84.7826087,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,21,0,117,84.7826087,0,40,,,
"Nu: 0.0001, Gamma: 0.05",19,2,109,8,19.56521739,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",19,2,109,8,19.56521739,0,40,,,
"Nu: 0.0001, Gamma: 0.1",18,3,104,13,22.46376812,0,40,,,
"Nu: 0.0001, Gamma: 0.2",15,6,75,42,41.30434783,0,40,,,
"Nu: 0.0001, Gamma: 0.5",15,6,21,96,80.43478261,0,40,,,
"Nu: 0.0001, Gamma: 0.7",18,3,21,96,82.60869565,0,40,,,
"Nu: 0.0001, Gamma: 0.9",20,1,18,99,86.23188406,0,40,,,
"Nu: 0.0001, Gamma: 0.99",12,9,20,97,78.98550725,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,21,0,117,84.7826087,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,21,0,117,84.7826087,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,21,0,117,84.7826087,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,21,0,117,84.7826087,0,40,,,
"Nu: 0.0002, Gamma: 0.005",16,5,106,11,19.56521739,0,40,,,
"Nu: 0.0002, Gamma: 0.05",19,2,109,8,19.56521739,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",19,2,109,8,19.56521739,0,40,,,
"Nu: 0.0002, Gamma: 0.1",18,3,104,13,22.46376812,0,40,,,
"Nu: 0.0002, Gamma: 0.2",20,1,81,36,40.57971014,0,40,,,
"Nu: 0.0002, Gamma: 0.5",20,1,21,96,84.05797101,0,40,,,
