Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,100,117
"Nu: 0.9, Gamma: 0.0002",0,21,0,117,84.7826087,10,40,,,
"Nu: 0.9, Gamma: 0.0003",0,21,0,117,84.7826087,10,40,,,
"Nu: 0.9, Gamma: 0.0004",0,21,0,117,84.7826087,10,40,,,
"Nu: 0.9, Gamma: 0.005",0,21,0,117,84.7826087,10,40,,,
"Nu: 0.9, Gamma: 0.05",0,21,0,117,84.7826087,10,40,,,
"Nu: 0.9, Gamma: 0.0625",1,20,0,117,85.50724638,10,40,,,
"Nu: 0.9, Gamma: 0.1",1,20,0,117,85.50724638,10,40,,,
"Nu: 0.9, Gamma: 0.2",2,19,0,117,86.23188406,10,40,,,
"Nu: 0.9, Gamma: 0.5",7,14,0,117,89.85507246,10,40,,,
"Nu: 0.9, Gamma: 0.7",10,11,0,117,92.02898551,10,40,,,
"Nu: 0.9, Gamma: 0.9",10,11,0,117,92.02898551,10,40,,,
"Nu: 0.9, Gamma: 0.99",10,11,0,117,92.02898551,10,40,,,
"Nu: 0.99, Gamma: 0.0001",0,21,0,117,84.7826087,10,40,,,
"Nu: 0.99, Gamma: 0.0002",0,21,0,117,84.7826087,10,40,,,
"Nu: 0.99, Gamma: 0.0003",0,21,0,117,84.7826087,10,40,,,
"Nu: 0.99, Gamma: 0.0004",0,21,0,117,84.7826087,10,40,,,
"Nu: 0.99, Gamma: 0.005",0,21,0,117,84.7826087,10,40,,,
"Nu: 0.99, Gamma: 0.05",0,21,0,117,84.7826087,10,40,,,
"Nu: 0.99, Gamma: 0.0625",0,21,0,117,84.7826087,10,40,,,
"Nu: 0.99, Gamma: 0.1",0,21,0,117,84.7826087,10,40,,,
"Nu: 0.99, Gamma: 0.2",0,21,0,117,84.7826087,10,40,,,
"Nu: 0.99, Gamma: 0.5",2,19,0,117,86.23188406,10,40,,,
"Nu: 0.99, Gamma: 0.7",3,18,0,117,86.95652174,10,40,,,
"Nu: 0.99, Gamma: 0.9",1,20,0,117,85.50724638,10,40,,,
"Nu: 0.99, Gamma: 0.99",1,20,0,117,85.50724638,10,40,,,
