Features: 16,,,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.72727273,327
"Nu: 0.05, Gamma: 0.9",5,0,22,28,60,0,40,,,
"Nu: 0.05, Gamma: 0.99",4,1,21,29,60,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",4,1,44,6,18.18181818,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",4,1,44,6,18.18181818,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",4,1,44,6,18.18181818,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",4,1,45,5,16.36363636,0,40,,,
"Nu: 0.0625, Gamma: 0.005",4,1,45,5,16.36363636,0,40,,,
"Nu: 0.0625, Gamma: 0.05",5,0,45,5,18.18181818,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",5,0,45,5,18.18181818,0,40,,,
"Nu: 0.0625, Gamma: 0.1",5,0,45,5,18.18181818,0,40,,,
"Nu: 0.0625, Gamma: 0.2",5,0,29,21,47.27272727,0,40,,,
"Nu: 0.0625, Gamma: 0.5",5,0,26,24,52.72727273,0,40,,,
"Nu: 0.0625, Gamma: 0.7",5,0,25,25,54.54545455,0,40,,,
"Nu: 0.0625, Gamma: 0.9",5,0,22,28,60,0,40,,,
"Nu: 0.0625, Gamma: 0.99",4,1,21,29,60,0,40,,,
"Nu: 0.1, Gamma: 0.0001",4,1,45,5,16.36363636,0,40,,,
"Nu: 0.1, Gamma: 0.0002",4,1,45,5,16.36363636,0,40,,,
"Nu: 0.1, Gamma: 0.0003",4,1,45,5,16.36363636,0,40,,,
"Nu: 0.1, Gamma: 0.0004",4,1,45,5,16.36363636,0,40,,,
"Nu: 0.1, Gamma: 0.005",4,1,45,5,16.36363636,0,40,,,
"Nu: 0.1, Gamma: 0.05",4,1,45,5,16.36363636,0,40,,,
"Nu: 0.1, Gamma: 0.0625",5,0,45,5,18.18181818,0,40,,,
"Nu: 0.1, Gamma: 0.1",5,0,45,5,18.18181818,0,40,,,
"Nu: 0.1, Gamma: 0.2",5,0,27,23,50.90909091,0,40,,,
"Nu: 0.1, Gamma: 0.5",5,0,21,29,61.81818182,0,40,,,
"Nu: 0.1, Gamma: 0.7",4,1,20,30,61.81818182,0,40,,,
"Nu: 0.1, Gamma: 0.9",4,1,18,32,65.45454545,0,40,,,
"Nu: 0.1, Gamma: 0.99",4,1,15,35,70.90909091,0,40,,,
"Nu: 0.2, Gamma: 0.0001",4,1,44,6,18.18181818,0,40,,,
"Nu: 0.2, Gamma: 0.0002",4,1,44,6,18.18181818,0,40,,,
"Nu: 0.2, Gamma: 0.0003",4,1,44,6,18.18181818,0,40,,,
"Nu: 0.2, Gamma: 0.0004",4,1,44,6,18.18181818,0,40,,,
"Nu: 0.2, Gamma: 0.005",4,1,45,5,16.36363636,0,40,,,
"Nu: 0.2, Gamma: 0.05",4,1,45,5,16.36363636,0,40,,,
"Nu: 0.2, Gamma: 0.0625",4,1,45,5,16.36363636,0,40,,,
"Nu: 0.2, Gamma: 0.1",4,1,45,5,16.36363636,0,40,,,
"Nu: 0.2, Gamma: 0.2",4,1,25,25,52.72727273,0,40,,,
"Nu: 0.2, Gamma: 0.5",4,1,22,28,58.18181818,0,40,,,
"Nu: 0.2, Gamma: 0.7",4,1,19,31,63.63636364,0,40,,,
"Nu: 0.2, Gamma: 0.9",3,2,18,32,63.63636364,0,40,,,
"Nu: 0.2, Gamma: 0.99",3,2,15,35,69.09090909,0,40,,,
"Nu: 0.5, Gamma: 0.0001",3,2,43,7,18.18181818,0,40,,,
"Nu: 0.5, Gamma: 0.0002",3,2,43,7,18.18181818,0,40,,,
"Nu: 0.5, Gamma: 0.0003",3,2,43,7,18.18181818,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,2,43,7,18.18181818,0,40,,,
"Nu: 0.5, Gamma: 0.005",3,2,43,7,18.18181818,0,40,,,
"Nu: 0.5, Gamma: 0.05",3,2,43,7,18.18181818,0,40,,,
"Nu: 0.5, Gamma: 0.0625",3,2,42,8,20,0,40,,,
"Nu: 0.5, Gamma: 0.1",3,2,37,13,29.09090909,0,40,,,
"Nu: 0.5, Gamma: 0.2",3,2,30,20,41.81818182,0,40,,,
"Nu: 0.5, Gamma: 0.5",3,2,19,31,61.81818182,0,40,,,
"Nu: 0.5, Gamma: 0.7",3,2,19,31,61.81818182,0,40,,,
"Nu: 0.5, Gamma: 0.9",3,2,11,39,76.36363636,0,40,,,
"Nu: 0.5, Gamma: 0.99",3,2,8,42,81.81818182,0,40,,,
"Nu: 0.7, Gamma: 0.0001",1,4,29,21,40,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,4,29,21,40,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,4,29,21,40,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,4,29,21,40,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,4,28,22,41.81818182,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,4,27,23,43.63636364,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,4,24,26,49.09090909,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,4,21,29,54.54545455,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,4,17,33,61.81818182,0,40,,,
"Nu: 0.7, Gamma: 0.5",3,2,8,42,81.81818182,0,40,,,
"Nu: 0.7, Gamma: 0.7",3,2,6,44,85.45454545,0,40,,,
"Nu: 0.7, Gamma: 0.9",3,2,6,44,85.45454545,0,40,,,
"Nu: 0.7, Gamma: 0.99",3,2,5,45,87.27272727,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,5,15,35,63.63636364,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,5,15,35,63.63636364,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,5,15,35,63.63636364,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,5,15,35,63.63636364,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,5,15,35,63.63636364,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,5,14,36,65.45454545,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,5,11,39,70.90909091,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,5,10,40,72.72727273,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,5,11,39,70.90909091,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,4,1,49,90.90909091,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,4,0,50,92.72727273,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,4,0,50,92.72727273,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,4,0,50,92.72727273,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,5,6,44,80,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,5,6,44,80,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,5,6,44,80,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,5,6,44,80,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,5,6,44,80,0,40,,,
