Features: 16,,,,,,,,,Max Acc,,Max TN,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.60273973,49,24,223
"Nu: 0.0004, Gamma: 6e-05",190,18,146,11,55.06849315,0,40,,,,,
"Nu: 0.0004, Gamma: 7e-05",176,13,160,16,52.60273973,0,40,,,,,
"Nu: 0.0004, Gamma: 8e-05",230,17,106,12,66.30136986,0,40,,,,,
"Nu: 0.0004, Gamma: 9e-05",268,24,68,5,74.79452055,0,40,,,,,
"Nu: 0.0004, Gamma: 0.0001",274,24,62,5,76.43835616,0,40,,,,,
"Nu: 0.0004, Gamma: 0.0002",280,24,56,5,78.08219178,0,40,,,,,
"Nu: 0.0004, Gamma: 0.0003",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0004, Gamma: 0.0004",336,27,0,2,92.60273973,0,40,,,,,
"Nu: 0.0004, Gamma: 0.005",251,13,85,16,73.15068493,0,40,,,,,
"Nu: 0.0004, Gamma: 0.05",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0004, Gamma: 0.0625",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0004, Gamma: 0.1",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0004, Gamma: 0.2",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0004, Gamma: 0.5",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0004, Gamma: 0.7",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0004, Gamma: 0.9",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0004, Gamma: 0.99",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.005, Gamma: 1e-05",141,9,195,20,44.10958904,0,40,,,,,
"Nu: 0.005, Gamma: 2e-05",148,9,188,20,46.02739726,0,40,,,,,
"Nu: 0.005, Gamma: 3e-05",157,10,179,19,48.21917808,0,40,,,,,
"Nu: 0.005, Gamma: 4e-05",123,6,213,23,40,0,40,,,,,
"Nu: 0.005, Gamma: 5e-05",136,8,200,21,43.01369863,0,40,,,,,
"Nu: 0.005, Gamma: 6e-05",141,8,195,21,44.38356164,0,40,,,,,
"Nu: 0.005, Gamma: 7e-05",179,12,157,17,53.69863014,0,40,,,,,
"Nu: 0.005, Gamma: 8e-05",145,8,191,21,45.47945205,0,40,,,,,
"Nu: 0.005, Gamma: 9e-05",152,8,184,21,47.39726027,0,40,,,,,
"Nu: 0.005, Gamma: 0.0001",192,12,144,17,57.26027397,0,40,,,,,
"Nu: 0.005, Gamma: 0.0002",225,13,111,16,66.02739726,0,40,,,,,
"Nu: 0.005, Gamma: 0.0003",200,10,136,19,60,0,40,,,,,
"Nu: 0.005, Gamma: 0.0004",203,12,133,17,60.2739726,0,40,,,,,
"Nu: 0.005, Gamma: 0.005",264,13,72,16,76.71232877,0,40,,,,,
"Nu: 0.005, Gamma: 0.05",327,24,9,5,90.95890411,0,40,,,,,
"Nu: 0.005, Gamma: 0.0625",298,20,38,9,84.10958904,0,40,,,,,
"Nu: 0.005, Gamma: 0.1",333,28,3,1,91.50684932,0,40,,,,,
"Nu: 0.005, Gamma: 0.2",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.005, Gamma: 0.5",304,25,32,4,84.38356164,0,40,,,,,
"Nu: 0.005, Gamma: 0.7",304,25,32,4,84.38356164,0,40,,,,,
"Nu: 0.005, Gamma: 0.9",304,25,32,4,84.38356164,0,40,,,,,
"Nu: 0.005, Gamma: 0.99",304,25,32,4,84.38356164,0,40,,,,,
"Nu: 0.05, Gamma: 1e-05",109,5,227,24,36.43835616,0,40,,,,,
"Nu: 0.05, Gamma: 2e-05",148,9,188,20,46.02739726,0,40,,,,,
"Nu: 0.05, Gamma: 3e-05",153,10,183,19,47.12328767,0,40,,,,,
"Nu: 0.05, Gamma: 4e-05",127,6,209,23,41.09589041,0,40,,,,,
"Nu: 0.05, Gamma: 5e-05",136,8,200,21,43.01369863,0,40,,,,,
"Nu: 0.05, Gamma: 6e-05",173,12,163,17,52.05479452,0,40,,,,,
"Nu: 0.05, Gamma: 7e-05",178,12,158,17,53.42465753,0,40,,,,,
"Nu: 0.05, Gamma: 8e-05",180,12,156,17,53.97260274,0,40,,,,,
"Nu: 0.05, Gamma: 9e-05",187,12,149,17,55.89041096,0,40,,,,,
"Nu: 0.05, Gamma: 0.0001",161,8,175,21,49.8630137,0,40,,,,,
"Nu: 0.05, Gamma: 0.0002",210,13,126,16,61.91780822,0,40,,,,,
"Nu: 0.05, Gamma: 0.0003",200,10,136,19,60,0,40,,,,,
"Nu: 0.05, Gamma: 0.0004",231,13,105,16,67.67123288,0,40,,,,,
"Nu: 0.05, Gamma: 0.005",298,17,38,12,84.93150685,0,40,,,,,
"Nu: 0.05, Gamma: 0.05",296,20,40,9,83.56164384,0,40,,,,,
"Nu: 0.05, Gamma: 0.0625",298,20,38,9,84.10958904,0,40,,,,,
"Nu: 0.05, Gamma: 0.1",301,24,35,5,83.83561644,0,40,,,,,
"Nu: 0.05, Gamma: 0.2",304,25,32,4,84.38356164,0,40,,,,,
"Nu: 0.05, Gamma: 0.5",304,25,32,4,84.38356164,0,40,,,,,
"Nu: 0.05, Gamma: 0.7",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.05, Gamma: 0.9",304,25,32,4,84.38356164,0,40,,,,,
"Nu: 0.05, Gamma: 0.99",304,25,32,4,84.38356164,0,40,,,,,
"Nu: 0.0625, Gamma: 1e-05",141,9,195,20,44.10958904,0,40,,,,,
"Nu: 0.0625, Gamma: 2e-05",148,9,188,20,46.02739726,0,40,,,,,
"Nu: 0.0625, Gamma: 3e-05",153,10,183,19,47.12328767,0,40,,,,,
"Nu: 0.0625, Gamma: 4e-05",159,10,177,19,48.76712329,0,40,,,,,
"Nu: 0.0625, Gamma: 5e-05",168,12,168,17,50.68493151,0,40,,,,,
"Nu: 0.0625, Gamma: 6e-05",141,8,195,21,44.38356164,0,40,,,,,
"Nu: 0.0625, Gamma: 7e-05",146,8,190,21,45.75342466,0,40,,,,,
"Nu: 0.0625, Gamma: 8e-05",148,8,188,21,46.30136986,0,40,,,,,
"Nu: 0.0625, Gamma: 9e-05",188,12,148,17,56.16438356,0,40,,,,,
"Nu: 0.0625, Gamma: 0.0001",194,12,142,17,57.80821918,0,40,,,,,
"Nu: 0.0625, Gamma: 0.0002",210,13,126,16,61.91780822,0,40,,,,,
"Nu: 0.0625, Gamma: 0.0003",200,10,136,19,60,0,40,,,,,
"Nu: 0.0625, Gamma: 0.0004",232,13,104,16,67.94520548,0,40,,,,,
"Nu: 0.0625, Gamma: 0.005",266,13,70,16,77.26027397,0,40,,,,,
"Nu: 0.0625, Gamma: 0.05",328,24,8,5,91.23287671,0,40,,,,,
"Nu: 0.0625, Gamma: 0.0625",298,20,38,9,84.10958904,0,40,,,,,
"Nu: 0.0625, Gamma: 0.1",301,24,35,5,83.83561644,0,40,,,,,
"Nu: 0.0625, Gamma: 0.2",304,25,32,4,84.38356164,0,40,,,,,
"Nu: 0.0625, Gamma: 0.5",304,25,32,4,84.38356164,0,40,,,,,
"Nu: 0.0625, Gamma: 0.7",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0625, Gamma: 0.9",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0625, Gamma: 0.99",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.1, Gamma: 1e-05",141,9,195,20,44.10958904,0,40,,,,,
"Nu: 0.1, Gamma: 2e-05",148,9,188,20,46.02739726,0,40,,,,,
"Nu: 0.1, Gamma: 3e-05",154,10,182,19,47.39726027,0,40,,,,,
"Nu: 0.1, Gamma: 4e-05",159,10,177,19,48.76712329,0,40,,,,,
"Nu: 0.1, Gamma: 5e-05",168,12,168,17,50.68493151,0,40,,,,,
"Nu: 0.1, Gamma: 6e-05",141,8,195,21,44.38356164,0,40,,,,,
"Nu: 0.1, Gamma: 7e-05",146,8,190,21,45.75342466,0,40,,,,,
"Nu: 0.1, Gamma: 8e-05",148,8,188,21,46.30136986,0,40,,,,,
"Nu: 0.1, Gamma: 9e-05",155,8,181,21,48.21917808,0,40,,,,,
"Nu: 0.1, Gamma: 0.0001",161,8,175,21,49.8630137,0,40,,,,,
"Nu: 0.1, Gamma: 0.0002",211,13,125,16,62.19178082,0,40,,,,,
"Nu: 0.1, Gamma: 0.0003",198,9,138,20,59.7260274,0,40,,,,,
"Nu: 0.1, Gamma: 0.0004",200,9,136,20,60.2739726,0,40,,,,,
"Nu: 0.1, Gamma: 0.005",296,17,40,12,84.38356164,0,40,,,,,
"Nu: 0.1, Gamma: 0.05",296,20,40,9,83.56164384,0,40,,,,,
"Nu: 0.1, Gamma: 0.0625",298,20,38,9,84.10958904,0,40,,,,,
"Nu: 0.1, Gamma: 0.1",333,28,3,1,91.50684932,0,40,,,,,
"Nu: 0.1, Gamma: 0.2",304,25,32,4,84.38356164,0,40,,,,,
"Nu: 0.1, Gamma: 0.5",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.1, Gamma: 0.7",304,25,32,4,84.38356164,0,40,,,,,
"Nu: 0.1, Gamma: 0.9",304,25,32,4,84.38356164,0,40,,,,,
"Nu: 0.1, Gamma: 0.99",304,25,32,4,84.38356164,0,40,,,,,
"Nu: 0.2, Gamma: 1e-05",147,9,189,20,45.75342466,0,40,,,,,
