ToRouter0,ToRouter1,ToRouter2,ToRouter3,ToRouter4,ToRouter5,ToRouter6,ToRouter7,ToRouter8,ToRouter9,ToRouter10,ToRouter11,ToRouter12,ToRouter13,ToRouter14,ToRouter15,Applications (Label Classes)
2196,26,30,42,32,29,28,33,31,31,3408,1966,5894,2463,3539,1823,ferret
2243,20,22,34,26,25,21,23,20,20,3097,1934,6354,2631,3925,1850,ferret
2228,27,30,46,35,33,29,28,27,26,3150,2110,6343,2501,3605,1692,ferret
2202,23,27,40,29,29,23,29,24,22,3167,4415,6457,2524,3444,1719,ferret
2155,23,23,33,28,21,25,22,25,21,3060,3511,6131,2703,3753,1865,ferret
2107,23,25,38,30,22,22,27,22,23,2898,2073,5671,2596,3625,1726,ferret
2038,22,19,32,24,22,23,20,26,19,2517,1852,5827,2317,3360,1623,ferret
2125,57,49,61,44,47,46,54,59,58,2720,2279,5219,2283,3532,1713,ferret
2127,26,22,40,28,24,26,22,28,19,3032,2069,4800,2430,3419,1638,ferret
2186,119,107,120,110,98,107,96,93,99,3503,2514,5319,2843,3981,1939,ferret
2173,33,34,56,35,31,32,30,31,31,3117,3056,6868,2526,3570,1775,ferret
2192,41,40,48,42,33,38,35,41,35,3067,4665,7883,2529,3389,1695,ferret
2263,60,53,56,51,49,59,42,48,50,3349,4627,7914,2663,3591,1888,ferret
2256,94,58,63,47,43,51,44,48,45,2953,2786,7844,2816,3387,2025,ferret
2297,115,66,75,48,49,46,49,56,53,3564,3397,7939,3007,4170,2306,ferret
2651,1608,1512,1617,1713,1735,1954,1488,1555,1516,2263,2266,8931,7792,2157,2268,ferret
827,9,11,8,10,15,248,10,8,10,529,501,5151,5739,289,266,ferret
776,2,5,9,7,8,276,7,6,6,537,419,6352,5560,370,288,ferret
830,10,11,15,16,13,296,12,10,12,525,550,5820,5994,393,278,ferret
897,10,9,16,10,13,284,12,10,10,544,608,7039,6719,403,293,ferret
884,9,9,13,11,11,275,9,10,9,574,681,7664,6445,497,307,ferret
760,15,18,22,28,19,207,10,12,15,566,616,6323,5928,370,262,ferret
764,8,5,7,10,12,180,8,12,9,460,448,6281,6022,306,215,ferret
798,7,13,14,13,12,196,12,8,11,489,520,5797,6034,336,286,ferret
773,7,5,13,7,11,214,7,6,9,483,460,4899,6534,342,241,ferret
764,23,29,33,28,31,291,21,27,22,495,524,5440,6596,382,309,ferret
758,20,22,18,36,27,349,15,9,34,537,469,6965,6021,583,454,ferret
785,6,9,15,10,12,260,9,9,17,533,482,7649,5998,424,311,ferret
800,8,13,12,8,12,259,11,6,18,497,487,8753,6642,315,281,ferret
821,18,13,19,15,19,242,16,11,16,509,618,8801,5871,328,321,ferret
793,22,22,25,20,24,384,14,13,16,630,700,7522,5969,446,426,ferret
5508,1386,1098,1163,1407,1160,1113,1242,3395,1233,3072,1104,1149,1188,1198,1287,ferret
112,142,48,42,118,50,67,170,1975,161,1414,102,91,92,77,85,ferret
56,161,22,31,91,27,60,133,1822,125,1229,92,79,67,58,57,ferret
83,160,25,32,94,27,57,143,1501,142,1162,85,77,67,55,59,ferret
111,229,39,38,100,38,61,160,1652,149,1208,113,84,76,69,67,ferret
99,206,32,34,96,32,64,133,1739,136,1394,95,87,76,61,69,ferret
49,173,26,28,64,28,50,123,1656,115,1193,65,76,64,55,57,ferret
78,153,36,35,102,26,62,169,1494,321,995,83,81,67,67,62,ferret
107,214,55,50,138,47,147,199,1496,154,1239,139,176,163,158,176,ferret
69,133,30,34,104,38,52,173,1485,146,1085,82,80,73,55,64,ferret
70,374,46,41,101,45,71,179,1998,147,1071,110,98,83,79,69,ferret
61,135,29,30,101,26,52,140,1425,134,1119,79,74,74,71,69,ferret
72,166,30,32,100,37,62,142,1598,145,1211,161,74,79,77,74,ferret
84,138,27,32,106,29,55,133,1565,150,1334,95,83,73,69,65,ferret
99,132,31,29,92,29,55,143,1727,125,1143,113,96,69,62,69,ferret
121,136,32,39,110,29,72,159,1821,187,1361,120,93,83,64,71,ferret
1781,1060,958,1068,1026,1012,1435,1023,1002,1055,1349,1040,4454,8009,2587,1750,ferret
536,10,7,22,8,8,174,6,8,7,198,23,2262,6012,1279,469,ferret
484,6,3,23,4,8,183,2,1,4,173,18,3035,6749,1412,472,ferret
