Features: 16,,,,,,,,,,
Target Class: freqmine,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.52336449,3
"Nu: 0.0001, Gamma: 0.0003",0,20,0,155,88.57142857,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,20,0,155,88.57142857,0,40,,,
"Nu: 0.0001, Gamma: 0.005",17,3,135,20,21.14285714,0,40,,,
"Nu: 0.0001, Gamma: 0.05",17,3,133,22,22.28571429,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",16,4,121,34,28.57142857,0,40,,,
"Nu: 0.0001, Gamma: 0.1",15,5,112,43,33.14285714,0,40,,,
"Nu: 0.0001, Gamma: 0.2",10,10,58,97,61.14285714,0,40,,,
"Nu: 0.0001, Gamma: 0.5",17,3,116,39,32,0,40,,,
"Nu: 0.0001, Gamma: 0.7",17,3,127,28,25.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.9",16,4,113,42,33.14285714,0,40,,,
"Nu: 0.0001, Gamma: 0.99",17,3,115,40,32.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,20,0,155,88.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,20,0,155,88.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,20,0,155,88.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,20,0,155,88.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.005",17,3,135,20,21.14285714,0,40,,,
"Nu: 0.0002, Gamma: 0.05",17,3,133,22,22.28571429,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",16,4,121,34,28.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.1",15,5,112,43,33.14285714,0,40,,,
"Nu: 0.0002, Gamma: 0.2",10,10,58,97,61.14285714,0,40,,,
"Nu: 0.0002, Gamma: 0.5",15,5,105,50,37.14285714,0,40,,,
"Nu: 0.0002, Gamma: 0.7",17,3,131,24,23.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.9",18,2,131,24,24,0,40,,,
"Nu: 0.0002, Gamma: 0.99",18,2,129,26,25.14285714,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,20,0,155,88.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,20,0,155,88.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,20,0,155,88.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,20,0,155,88.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.005",17,3,135,20,21.14285714,0,40,,,
"Nu: 0.0003, Gamma: 0.05",17,3,133,22,22.28571429,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",16,4,121,34,28.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.1",15,5,112,43,33.14285714,0,40,,,
"Nu: 0.0003, Gamma: 0.2",10,10,58,97,61.14285714,0,40,,,
"Nu: 0.0003, Gamma: 0.5",15,5,105,50,37.14285714,0,40,,,
"Nu: 0.0003, Gamma: 0.7",17,3,126,29,26.28571429,0,40,,,
"Nu: 0.0003, Gamma: 0.9",18,2,128,27,25.71428571,0,40,,,
"Nu: 0.0003, Gamma: 0.99",18,2,129,26,25.14285714,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,20,0,155,88.57142857,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,20,0,155,88.57142857,0,40,,,
