Features: 16,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.6371553
"Nu: 0.2, Gamma: 0.99",7,3,57,2689,97.82293179,0,40,,
"Nu: 0.5, Gamma: 0.0001",1,9,33,2713,98.47605225,0,40,,
"Nu: 0.5, Gamma: 0.0002",1,9,33,2713,98.47605225,0,40,,
"Nu: 0.5, Gamma: 0.0003",2,8,37,2709,98.36719884,0,40,,
"Nu: 0.5, Gamma: 0.0004",2,8,37,2709,98.36719884,0,40,,
"Nu: 0.5, Gamma: 0.005",2,8,37,2709,98.36719884,0,40,,
"Nu: 0.5, Gamma: 0.05",2,8,37,2709,98.36719884,0,40,,
"Nu: 0.5, Gamma: 0.0625",2,8,37,2709,98.36719884,0,40,,
"Nu: 0.5, Gamma: 0.1",1,9,37,2709,98.33091437,0,40,,
"Nu: 0.5, Gamma: 0.2",1,9,41,2705,98.18577649,0,40,,
"Nu: 0.5, Gamma: 0.5",3,7,45,2701,98.11320755,0,40,,
"Nu: 0.5, Gamma: 0.7",2,8,44,2702,98.11320755,0,40,,
"Nu: 0.5, Gamma: 0.9",2,8,46,2700,98.04063861,0,40,,
"Nu: 0.5, Gamma: 0.99",2,8,44,2702,98.11320755,0,40,,
"Nu: 0.7, Gamma: 0.0001",0,10,9,2737,99.31059507,0,40,,
"Nu: 0.7, Gamma: 0.0002",0,10,12,2734,99.20174165,0,40,,
"Nu: 0.7, Gamma: 0.0003",1,9,16,2730,99.09288824,0,40,,
"Nu: 0.7, Gamma: 0.0004",1,9,15,2731,99.12917271,0,40,,
"Nu: 0.7, Gamma: 0.005",1,9,15,2731,99.12917271,0,40,,
"Nu: 0.7, Gamma: 0.05",1,9,15,2731,99.12917271,0,40,,
"Nu: 0.7, Gamma: 0.0625",1,9,15,2731,99.12917271,0,40,,
"Nu: 0.7, Gamma: 0.1",1,9,15,2731,99.12917271,0,40,,
"Nu: 0.7, Gamma: 0.2",1,9,15,2731,99.12917271,0,40,,
"Nu: 0.7, Gamma: 0.5",0,10,15,2731,99.09288824,0,40,,
"Nu: 0.7, Gamma: 0.7",0,10,15,2731,99.09288824,0,40,,
"Nu: 0.7, Gamma: 0.9",0,10,18,2728,98.98403483,0,40,,
"Nu: 0.7, Gamma: 0.99",0,10,18,2728,98.98403483,0,40,,
"Nu: 0.9, Gamma: 0.0001",0,10,13,2733,99.16545718,0,40,,
"Nu: 0.9, Gamma: 0.0002",0,10,8,2738,99.34687954,0,40,,
"Nu: 0.9, Gamma: 0.0003",0,10,8,2738,99.34687954,0,40,,
"Nu: 0.9, Gamma: 0.0004",0,10,12,2734,99.20174165,0,40,,
"Nu: 0.9, Gamma: 0.005",0,10,9,2737,99.31059507,0,40,,
"Nu: 0.9, Gamma: 0.05",0,10,11,2735,99.23802612,0,40,,
"Nu: 0.9, Gamma: 0.0625",0,10,11,2735,99.23802612,0,40,,
"Nu: 0.9, Gamma: 0.1",0,10,11,2735,99.23802612,0,40,,
"Nu: 0.9, Gamma: 0.2",0,10,11,2735,99.23802612,0,40,,
"Nu: 0.9, Gamma: 0.5",0,10,10,2736,99.2743106,0,40,,
"Nu: 0.9, Gamma: 0.7",0,10,10,2736,99.2743106,0,40,,
"Nu: 0.9, Gamma: 0.9",0,10,9,2737,99.31059507,0,40,,
"Nu: 0.9, Gamma: 0.99",0,10,8,2738,99.34687954,0,40,,
"Nu: 0.99, Gamma: 0.0001",0,10,10,2736,99.2743106,0,40,,
"Nu: 0.99, Gamma: 0.0002",0,10,5,2741,99.45573295,0,40,,
"Nu: 0.99, Gamma: 0.0003",0,10,5,2741,99.45573295,0,40,,
"Nu: 0.99, Gamma: 0.0004",0,10,5,2741,99.45573295,0,40,,
