Features: 16,,,,,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.30769231,329
"Nu: 0.2, Gamma: 0.9",11,1,75,45,42.42424242,0,40,,,
"Nu: 0.2, Gamma: 0.99",11,1,71,49,45.45454545,0,40,,,
"Nu: 0.5, Gamma: 0.0001",6,6,58,62,51.51515152,0,40,,,
"Nu: 0.5, Gamma: 0.0002",6,6,58,62,51.51515152,0,40,,,
"Nu: 0.5, Gamma: 0.0003",6,6,58,62,51.51515152,0,40,,,
"Nu: 0.5, Gamma: 0.0004",6,6,58,62,51.51515152,0,40,,,
"Nu: 0.5, Gamma: 0.005",6,6,58,62,51.51515152,0,40,,,
"Nu: 0.5, Gamma: 0.05",6,6,60,60,50,0,40,,,
"Nu: 0.5, Gamma: 0.0625",6,6,59,61,50.75757576,0,40,,,
"Nu: 0.5, Gamma: 0.1",6,6,58,62,51.51515152,0,40,,,
"Nu: 0.5, Gamma: 0.2",6,6,52,68,56.06060606,0,40,,,
"Nu: 0.5, Gamma: 0.5",9,3,52,68,58.33333333,0,40,,,
"Nu: 0.5, Gamma: 0.7",8,4,50,70,59.09090909,0,40,,,
"Nu: 0.5, Gamma: 0.9",8,4,42,78,65.15151515,0,40,,,
"Nu: 0.5, Gamma: 0.99",8,4,41,79,65.90909091,0,40,,,
"Nu: 0.7, Gamma: 0.0001",5,7,40,80,64.39393939,0,40,,,
"Nu: 0.7, Gamma: 0.0002",5,7,38,82,65.90909091,0,40,,,
"Nu: 0.7, Gamma: 0.0003",5,7,39,81,65.15151515,0,40,,,
"Nu: 0.7, Gamma: 0.0004",5,7,39,81,65.15151515,0,40,,,
"Nu: 0.7, Gamma: 0.005",5,7,39,81,65.15151515,0,40,,,
"Nu: 0.7, Gamma: 0.05",5,7,39,81,65.15151515,0,40,,,
"Nu: 0.7, Gamma: 0.0625",5,7,39,81,65.15151515,0,40,,,
"Nu: 0.7, Gamma: 0.1",4,8,38,82,65.15151515,0,40,,,
"Nu: 0.7, Gamma: 0.2",4,8,34,86,68.18181818,0,40,,,
"Nu: 0.7, Gamma: 0.5",4,8,32,88,69.6969697,0,40,,,
"Nu: 0.7, Gamma: 0.7",5,7,37,83,66.66666667,0,40,,,
"Nu: 0.7, Gamma: 0.9",4,8,32,88,69.6969697,0,40,,,
"Nu: 0.7, Gamma: 0.99",3,9,27,93,72.72727273,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,12,12,108,81.81818182,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,12,10,110,83.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,12,10,110,83.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,12,12,108,81.81818182,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,12,11,109,82.57575758,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,11,11,109,83.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,11,11,109,83.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,11,11,109,83.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,11,8,112,85.60606061,0,40,,,
